server_fit,server_ev,supernode-1_fit,supernode-1_ev,supernode-2_fit,supernode-2_ev,supernode-3_fit,supernode-3_ev,supernode-4_fit,supernode-4_ev,supernode-5_fit,supernode-5_ev
1618.44007396698,1630.6429197788239,1603.2279238700867;1618.3849239349365,1627.7109003067017,1603.0469970703125;1615.1557195186615,1627.7099390029907,1606.2672474384308,1630.6421847343445,1600.2522733211517;1612.399598121643,1624.706336736679,1603.2536826133728;1615.407651424408,1627.7087421417236
1658.2586798667908,1667.562646150589,1645.9915158748627;1658.1161060333252,1664.4711096286774,1642.991765499115;1658.2083730697632,1667.5618937015533,1643.06347322464;1655.199378490448,1667.5580670833588,1646.0939424037933,1667.557115316391,1639.9939875602722;1652.1718833446503,1664.555222272873
1692.343023777008,1701.7981040477753,1679.952815771103;1692.178498506546,1701.796921491623,1680.1202974319458;1689.3134546279907,1701.7824325561523,1682.9817271232605,1701.7874810695648,1680.0660591125488;1692.205795764923,1701.5879027843475,1680.0817363262177;1692.2865653038025,1698.788906097412
1729.3331453800201,1738.6705069541931,1717.214975118637,1735.6551642417908,1717.072208404541;1726.1801908016205,1738.6589891910553,1714.0879564285278;1726.2532892227173,1738.669188261032,1717.1501898765564;1729.2708604335785,1738.6644248962402,1714.1699771881104;1726.2739837169647,1735.6531472206116
1766.3966255187988,1778.664846420288,1753.983027935028,1775.59792137146,1751.1996738910675;1760.3547565937042,1778.6637256145477,1751.1226320266724;1766.284249305725,1772.6613795757294,1751.1451575756073;1766.3314197063446,1775.6604862213135,1751.0208506584167;1763.2218189239502,1775.6625430583954
1806.3004302978516,1815.7638561725616,1791.0185136795044;1806.2430891990662,1815.7627239227295,1790.9036538600922;1803.1406614780426,1815.7528042793274,1794.1062757968903;1803.230870962143,1815.5623183250427,1794.1205224990845,1812.7422749996185,1791.0888798236847;1803.207694530487,1815.757580757141
1843.40007686615,1852.6651666164398,1828.005211353302;1843.1705927848816,1852.6585566997528,1828.1347308158875;1843.346583366394,1852.6538801193237,1828.1127316951752;1840.305026769638,1849.6469860076904,1831.0180110931396,1852.6639931201935,1828.188687801361;1837.344630241394,1852.5719425678253
1880.3044459819794,1892.5697836875916,1865.190838098526;1877.3144886493683,1892.5690031051636,1865.0441753864288;1880.2529954910278,1892.5155861377716,1868.2366423606873,1886.5647888183594,1868.222613811493;1877.3434777259827,1889.5680074691772,1865.1342675685883;1874.3131325244904,1889.5080606937408
1920.091185092926,1929.4116384983063,1907.8119349479675;1916.8950741291046,1929.3499104976654,1907.9695444107056,1926.3997881412506,1904.8800256252289;1920.0385105609894,1929.3556821346283,1904.9504466056824;1917.0438740253448,1929.405441045761,1904.8059659004211;1913.9978704452515,1929.4104931354523
1954.339881658554,1966.636948108673,1942.005534172058;1954.154497385025,1963.6338381767273,1945.1084406375885;1954.2757303714752,1966.6360909938812,1945.1553299427032,1963.5578701496124,1945.082759141922;1954.2319078445435,1963.626280784607,1938.9720559120178;1951.130535364151,1960.5495495796204
