server_fit,server_ev,supernode-1_fit,supernode-1_ev,supernode-2_fit,supernode-2_ev,supernode-3_fit,supernode-3_ev,supernode-4_fit,supernode-4_ev,supernode-5_fit,supernode-5_ev
1779.8068749904633,1789.0286972522736,1770.5300364494324,1786.0816934108734,1770.4621062278748;1776.757848739624,1786.0808987617493,1770.5300333499908,1786.078736782074,1767.4201998710632;1779.745944738388,1786.0796899795532,1770.4575707912445;1776.7956750392914,1789.0285432338715
1807.7531118392944,1817.0829939842224,1801.3161356449127,1814.0678474903107,1801.3806142807007,1817.082458972931,1798.3647351264954;1807.6427857875824,1814.0642421245575,1798.3065934181213;1807.7025582790375,1814.0634245872498,1798.3596925735474;1807.702555179596,1814.006305217743
1835.891660451889,1845.1872553825378,1826.4277238845825;1835.8429198265076,1845.186687707901,1826.4945917129517,1842.181360244751,1826.3494572639465;1835.8429162502289,1842.1805593967438,1826.4945948123932,1842.1796255111694,1823.4230818748474;1835.8049902915955,1842.1784806251526
1863.8849349021912,1873.1764471530914,1854.5791387557983,1873.1758892536163,1854.4922077655792;1860.7816035747528,1873.123309135437,1854.4801330566406;1863.8294315338135,1870.1639642715454,1854.5165948867798;1863.833333492279,1873.17014503479,1854.5791418552399,1870.162724018097
1891.8179738521576,1898.1353273391724,1879.4352345466614;1891.7688205242157,1898.120178937912,1882.5255155563354,1898.1136591434479,1882.4688804149628;1891.7139286994934,1898.1248319149017,1882.525512456894,1898.1300137043,1879.4939951896667;1891.7688174247742,1898.134813785553
1916.9697661399841,1926.2090446949005,1907.613517522812;1916.9084792137146,1923.2354991436005,1907.659364938736,1923.2394981384277,1907.5298762321472;1913.8375561237335,1923.2385325431824,1907.6593680381775,1926.208918094635,1907.617562532425;1916.9084837436676,1926.2080960273743
1944.9187331199646,1954.1431453227997,1935.590268611908,1951.1741857528687,1935.5070731639862;1944.8697717189789,1954.1425533294678,1938.5677943229675,1951.1361575126648,1935.5457453727722;1944.817296743393,1951.172111749649,1932.5546102523804;1944.8697686195374,1951.1730313301086
1972.8801612854004,1982.1714386940002,1963.462852716446;1972.828993320465,1979.0856635570526,1966.5703327655792,1982.1702961921692,1963.5806729793549,1979.162373304367,1963.5384159088135;1969.8003106117249,1982.1712822914124,1963.4737219810486;1972.817409992218,1979.163429260254
2000.9340739250183,2007.2275459766388,1991.6431465148926,2007.2153134346008,1991.5918068885803;2000.8853511810303,2007.2260189056396,1991.5918035507202;2000.8274567127228,2007.2220766544342,1991.6068887710571;2000.8853480815887,2007.2273495197296,1991.6431431770325,2007.2242918014526
2025.9938876628876,2035.3028299808502,2016.7154235839844,2032.2953379154205,2016.6597752571106;2025.9221272468567,2032.2932796478271,2016.6043055057526;2025.9438574314117,2035.3022396564484,2016.7154202461243,2032.2942526340485,2016.671332359314;2025.881230354309,2032.2324011325836
2054.05056476593,2063.3700573444366,2044.6650083065033;2053.973377466202,2060.363353252411,2044.7300038337708,2063.3694796562195,2044.7300074100494,2060.303730726242,2044.6789286136627;2050.94530582428,2060.3047499656677,2041.655915737152;2053.991013288498,2060.362565755844
2082.1073081493378,2091.3896675109863,2072.7943682670593,2088.3810443878174,2072.714920282364;2082.045792579651,2088.3830099105835,2075.720540046692,2088.3820967674255,2072.73770737648;2082.0497505664825,2088.379932165146,2072.6279180049896;2079.024631500244,2091.38907456398
2110.14586353302,2119.6608929634094,2100.823090314865;2107.0554099082947,2116.658647298813,2100.8561313152313,2116.657781124115,2100.8561284542084,2116.6604764461517,2097.7484714984894;2110.0929911136627,2119.660717487335,2100.7903311252594;2110.096625804901,2116.6596689224243
2138.323167324066,2147.609370470047,2131.9760689735413,2147.603189945221,2129.0485379695892,2147.6087725162506,2128.8977613449097;2138.2712664604187,2144.5949375629425,2129.0060482025146;2135.2411408424377,2144.5961775779724,2128.9687452316284;2135.2918949127197,2144.5939247608185
2166.243593454361,2175.4899842739105,2157.070400238037,2172.5135550498962,2156.8708670139313;2163.1773903369904,2175.4893991947174,2154.003655910492;2166.17773270607,2172.477973461151,2157.133597135544,2175.4845366477966,2154.007872104645;2166.1932175159454,2172.5126118659973
2194.296673297882,2200.587057352066,2184.96471619606,2200.5866088867188,2181.858992099762;2194.1891055107117,2200.5772461891174,2184.964719057083,2197.542951107025,2181.865862131119;2191.1675486564636,2200.582670688629,2184.9160509109497;2194.192759037018,2200.576378107071
