server_fit,server_ev,supernode-1_fit,supernode-1_ev,supernode-2_fit,supernode-2_ev,supernode-3_fit,supernode-3_ev,supernode-4_fit,supernode-4_ev,supernode-5_fit,supernode-5_ev
1076.8300774097443,1083.2767724990845,1067.4779253005981;1076.7611763477325,1083.2666175365448,1067.4974977970123;1076.765103340149,1083.272287607193,1067.5541803836823,1083.247845172882,1064.3932020664215;1073.7092254161835,1083.2615356445312,1064.4174089431763;1073.726525068283,1083.2763035297394
1104.969260931015,1114.2613377571106,1092.7674827575684,1114.2611331939697,1092.6565279960632;1101.858880519867,1111.260262966156,1092.7172150611877;1104.9132702350616,1111.2185328006744,1092.61261343956;1101.8207547664642,1111.256674528122,1089.5978996753693;1098.8108007907867,1111.268676519394
1133.0111062526703,1139.2891061306,1123.637137413025;1129.8807425498962,1139.2788343429565,1123.7975742816925;1132.9571015834808,1139.2838122844696,1123.8542504310608,1139.2747645378113,1123.6920220851898;1132.923498392105,1139.2885391712189,1123.7424199581146;1132.9459564685822,1136.2673983573914
1160.8984351158142,1167.1749985218048,1148.6598896980286;1157.8912785053253,1167.17036318779,1151.6919467449188;1160.8453669548035,1167.123049736023,1151.7645831108093,1167.166246175766,1151.711225271225;1157.8859057426453,1167.1743333339691,1148.6823976039886;1158.0813682079315,1167.1604678630829
1185.8616170883179,1192.1562666893005,1176.4765694141388;1185.6595792770386,1192.1527812480927,1176.7020604610443,1192.1492364406586,1176.635268688202;1185.8094551563263,1192.1443374156952,1176.5976722240448;1185.7929239273071,1192.1559386253357,1176.569776058197;1185.7256169319153,1192.139200925827
1210.8624732494354,1220.121784210205,1201.482472896576;1210.7468421459198,1217.0899126529694,1201.6638400554657;1207.8277411460876,1217.1087696552277,1201.5973098278046;1210.7993795871735,1217.1096925735474,1204.4841690063477,1220.115875005722,1201.5356068611145;1210.7603688240051,1220.1211948394775
1238.8336567878723,1245.1698150634766,1229.5291545391083;1238.7760970592499,1245.1592519283295,1229.5522272586823,1245.1695713996887,1229.3673830032349;1238.7452545166016,1245.1644682884216,1229.4431555271149;1238.7794725894928,1245.167981147766,1226.4165306091309;1232.6221721172333,1245.154151916504
1263.8833456039429,1270.1461024284363,1254.7421526908875,1270.1411294937134,1254.5956585407257;1263.7751560211182,1270.102100610733,1254.6249203681946;1263.8053586483002,1270.1361219882965,1254.6835224628448;1263.8301799297333,1270.145537853241,1254.5050058364868;1263.7043099403381,1270.0979290008545
1288.8161716461182,1298.1175243854523,1282.505445241928,1298.106050491333,1279.5131542682648;1288.7076301574707,1295.0993943214417,1279.5363328456879;1288.7487699985504,1298.116935968399,1279.5894927978516;1288.7631759643555,1298.1123416423798,1276.4631757736206;1285.6894624233246,1295.1008586883545
1316.8062133789062,1323.2697689533234,1307.483601808548;1316.6641716957092,1323.2588818073273,1307.5188808441162;1316.7191174030304,1323.2692551612854,1307.6387898921967,1323.2631270885468,1307.5850298404694;1316.7527453899384,1323.2666215896606,1304.4572603702545;1313.615716934204,1323.255905866623
1341.980351448059,1348.2533435821533,1329.628993988037;1338.815250635147,1348.2516913414001,1332.7434644699097;1341.9196939468384,1348.2490649223328,1332.8006641864777,1348.2270760536194,1332.6705393791199;1341.9034037590027,1348.24671292305,1332.6469101905823;1338.8709347248077,1348.2531962394714
